Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity
BUDECORT 0.5MG PACKET OF 2.5ML RESPULES,ENT,RESPULES,1::0,335::0,1
BUDECORT 200MCG ROTACAPS 30'S,ENT,PACKET,2::0,246::0,2
BUDECORT CR CAPSULE 30'S,ENT,BOX,0::0,4::0,0
BUDESAL 0.5MG RESPULES 5*2ML,ENT,BOTTLE,20::0,40::0,20
BUDESAL 1MG PACKET OF 5*2ML RESPULES,ENT,PACKET,0::0,1::0,0
BUPREPLAST 10MG,GENERAL MEDICINE,PACKET,2::0,7::0,2
BUPRIGESIC PATCH,GENERAL MEDICINE,INJ,0::0,10::0,0
BUSCOGAST 20MG AMPOULE OF 2ML INJECTION,GENERAL MEDICINE,PATCH,6::0,7::0,0
BUSCOGAST STRIP OF 10 TABLETS,GENERAL MEDICINE,PATCH,0::0,7::0,0
C-HOP 200 MG TABLET SR 10,GENERAL MEDICINE,5MG,0::0,5::0,4
C FURO 250MG TABLET,GENERAL MEDICINE,PATCH,1::1,4::0,2
C ONE 1000MG INJ 5GM,GENERAL MEDICINE,AMPOULE,0::0,40::0,0
C ONE 1GM INJ,GENERAL MEDICINE,STRIP,1::0,8::0,1
C ONE SB INJ,GENERAL MEDICINE,INJ,19::0,40::0,22
CABGOLIN 0.25MG TABLET,GENERAL MEDICINE,STRIP,0::0,7::0,6
CABGOLIN 0.5MG TABLET,GENERAL MEDICINE,STRIP,0::0,1::0,0
CABOPROST 250MG INJ 1ML,OBGY,VIAL,0::0,455::0,0
CABPROST 250MG INJ,OBGY,VIAL,2::0,25::0,2
CADOMER TUBE OF 10GM OINTMENT,GENERAL SURGERY,VIAL,0::0,149::0,0
CALAMOON,GENERAL MEDICINE,STRIP,0::0,6::0,0
CALAPURE A LOTION 50ML,GENERAL MEDICINE,STRIP,1::0,48::0,1
CALCIGARD 10 MG STRIP OF 10 CAPSULE,GENERAL MEDICINE,AMPOULE,0::0,0::0,0
CALCIGARD 5MG CAPSULE,GENERAL MEDICINE,INJ,1::0,6::0,1
CALCIMAX P SUSP,PED,TUBE,2::0,2::0,2
CALCINASE NASAL SPRAY,ENT,LOTION,0::0,1::0,0
CALCIWAY BOTTLE OF 200ML SYRUP,GENERAL MEDICINE,BOTTLE,1::0,15::0,0
CALCIWAY D3 STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::5,5::0,0
CALCIWAY D3 STRIP OF 4 CAPSULES,GENERAL MEDICINE,STRIP,8::5,7::0,8
CALDIKIND P MANGO FLAVOUR SUSPENSION 200ML,PED,BOTTLE,0::0,1::0,0
CALDIKIND PLUS STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
CALDIKIND STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
CALDIKIND SUSP 200ML,GENERAL MEDICINE,STRIP,0::10,1::0,0
CALPOL 120MG STRAWBERRY FLAVOUR BOTTLE OF 60ML SUSPENSION,PED,STRIP,0::0,3::0,0
CALPOL 120MG STRWBERRY FLAVOUR BOTTLE OF 60 ML SUSPENSION,PED,BOTTLE,2::0,89::0,2
CALPOL 250MG SUSP 60ML,PED,STRIP,3::0,963::0,2
CALPOL 500 MG TABLET 500,GENERAL MEDICINE,STRIP,3::5,257::0,11
CALPOL 500MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,3::0,40::0,0
CALPOL PAED 100MG PEPPERMINT FLAV DROPS 15ML,PED,BOTTLE,2::0,40::0,8
CAMDEM 10MG TAB,GENERAL MEDICINE,BOTTLE,2::0,4::0,0
CANDID 1% LOTION 30ML,GENERAL SURGERY,BOTTLE,4::0,72::0,3
CANDID B CREAM 10GM,GENERAL SURGERY,BOTTLE,4::0,6::0,3
CANDID DUSTING POWDER - 60 GM,GENERAL SURGERY,STRIP,0::7,49::0,2
CANDID EAR DROPS,ENT,BOTTLE,0::0,16::0,0
CANDID MOUTH PAINT 25ML,ENT,STRIP,0::0,12::0,0
CANDID POWDER - 100GM,GENERAL SURGERY,BOTTLE,0::0,1::0,0
CANDID POWDER - 50GM,GENERAL SURGERY,TUBE,2::0,4::0,0
CANDID V3 200MG STRIP OF 3 VAGINAL TABLETS,OBGY,BOTTLE,0::0,24::0,0
CANDID EAR DROPS,ENT,BOTTLE,2::0,19::0,0
CANDID MOUTH PAINT 25ML,ENT,BOTTLE,0::0,1::0,0
CANDID POWDER - 100GM,GENERAL SURGERY,BOX,0::0,9::0,0
CANDID POWDER - 50GM,GENERAL SURGERY,BOTTLE,11::0,481::0,6
CANDID V3 200MG STRIP OF 3 VAGINAL TABLETS,OBGY,STRIP,1::0,8::0,2
CANDIFORCE 100MG CAPSULE,OBGY,STRIP,4::3,8::0,1
CANDIFORCE 200MG CAP 10'S,OBGY,STRIP,12::4,48::0,3
CANDIFORCE 200MG CAP 7'S,OBGY,STRIP,1::1,41::0,1
CANDIFORCE 200MG CAPSULE,OBGY,STRIP,0::0,10::0,0
CANDIFORCE SB 50MG STRIP OF 10 CAPSULES,OBGY,STRIP,0::1,24::0,0
CANDITRAL SB STRIP OF 10 CAPSULES,OBGY,STRIP,0::0,7::0,0
CAPRIN 25000IU INJ 5ML,GENERAL SURGERY,VIAL,0::0,3::0,0
CAPRIN 5000 IU INJ,GENERAL SURGERY,VIAL,0::0,1::0,0
CARILITE,GENERAL MEDICINE,INJ,0::0,5::0,4
CARIPAP STRIP OF 15 TABLETS,GENERAL MEDICINE,INJ,1::0,2::0,1
CARTIQUIN 200MG,ORTH,SYP,7::0,207::0,6
CATHERTER MOUNT,HOSPITAL CPMH,STRIP,1::0,3::0,1
CATHETOR NO 16,HOSPITAL CPMH,TAB,4::13,16::0,3
CCQ 50MG STRIP OF 5 TABLETS,OBGY,PACKET,1::0,1::0,1
CEFAKIND 250MG TABLET,GENERAL MEDICINE,PACKET,0::0,0::0,0
CEFICURE S,GENERAL MEDICINE,PENCIL,0::0,24::0,0
CEFIWAK TAB,GENERAL MEDICINE,STRIP,2::0,2::0,2
CEFLOX DEE OPTIC E/E DROP 10ML,ENT,STRIP,1::0,3::0,1
CEFLOX E/E DROPS 10ML,ENT,INJ,0::0,10::0,0
CEFOBACT 1.5 GM,GENERAL MEDICINE,STRIP,0::0,1::0,0
CEFROCK 1GM INJ,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
CEFTIROL,GENERAL MEDICINE,BOTTLE,1::0,10::0,1
CEFTOX 1GM INJ,GENERAL MEDICINE,INJECTION,0::0,10::0,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,GENERAL MEDICINE,INJ,0::0,100::0,0
CEFUMERI 500,GENERAL MEDICINE,INJECTION,0::0,50::0,0
CELFAST INFLA STRIP OF 15 TABLETS,GENERAL MEDICINE,INJ,0::0,100::0,6
CELIN 500MG CHEW TAB,GENERAL MEDICINE,INJECTION,4::0,56::0,20
CELPAZONE S 1000/500 MG INJECTION 1 ML,GENERAL MEDICINE,INJ,0::0,55::0,20
CELTRANZ INJ 5ML,GENERAL MEDICINE,DRY VIAL,0::0,500::0,1
CENTISORB 1 PNW 2347 CRB,HOSPITAL CPMH,INJ,0::0,180::0,0
CEFUMERI 500,GENERAL MEDICINE,TAB,7::0,152::0,1
CELFAST INFLA STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::0,43::0,1
CELIN 500MG CHEW TAB,GENERAL MEDICINE,STRIP,0::0,9::0,0
CELPAZONE S 1000/500 MG INJECTION 1 ML,GENERAL SURGERY,VIAL,0::0,25::0,11
CELTRANZ INJ 5ML,GENERAL SURGERY,INJECTION,0::0,15::0,0
CENTISORB 1 PNW 2347 CRB,HOSPITAL CPMH,2180,1::0,16::0,3
CENTLON 2 0 CNW 3336 CRC 1'S [039642],HOSPITAL CPMH,BOX,5::0,12::0,5
CERVICAL COLLAR ORTHOSIS MEDIUM B 10,ORTH,BOX,1::0,14::0,1
CERVICAL COLLAR SOFT WITH SUPPORT XL B 02,ORTH,BOX,0::0,0::0,0
CETANIL T 40/10MG TABLET 15'S,GENERAL MEDICINE,BOX,0::0,0::0,0
CETAPHIL BABY ECZEMA CALMING LOTION 147 ML,PED,STRIP,0::0,1::0,0
CETZINE BOTTLE OF 10ML DROPS,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
CEZOSAL 1000/500 MG INJECTION 1,GENERAL SURGERY,BOTTLE,1::0,7::0,2
CHARAK LIVOMYN SYRUP - 100ML,GENERAL MEDICINE,BOTTLE,2::0,16::0,1
CHARAK M2-TONE SYRUP,OBGY,INJ,0::0,6::0,0
CHICCO BABY BIPACK - 72 WIPES,PED,BOTTLE,4::0,55::0,4
CHICCO BABY WIPES FLIPTOP PACKET OF 72,PED,BOTTLE,1::0,44::0,2
CHICCO NEW NIPPLE SHIELDS MEDIUM TO LARGE SILICONE,PED,PACKET,0::0,6::0,0
CHOLTRAN SACH 5GM,GENERAL MEDICINE,PACKET,1::0,11::0,2
CHOP 200 SR TAB 10'S,GENERAL MEDICINE,BOX,1::0,11::0,0
CHOP SR 200MG TAB,GENERAL MEDICINE,PACKET,0::0,20::0,3
CHYMOBID BR TAB,GENERAL SURGERY,STRIP,0::0,4::0,0
CHYMOFORCE PLUS,GENERAL SURGERY,STRIP,0::0,11::0,0
CHYMOMERG TABLET,GENERAL SURGERY,STRIP,0::6,18::0,0
CHYMORAL FORTE DS STRIP OF 10 TABLETS,GENERAL SURGERY,TAB,0::0,15::0,6
CHYMORAL FORTE STRIP OF 20 TABLETS,GENERAL SURGERY,STRIP,1::0,202::0,1
CHYMOTAK,GENERAL SURGERY,STRIP,0::0,1::0,0
CHYMOTAKE D,GENERAL SURGERY,STRIP,1::10,57::0,1
CHYMOTAKE TAB 10,GENERAL SURGERY,TAB,0::0,60::0,0
CHYMOTAS FORTE TABLET,GENERAL SURGERY,TAB,23::9,273::0,0
CHYMOTECH D TAB,GENERAL SURGERY,TAB,1::5,102::0,0
CHYMOTECH TAB,GENERAL SURGERY,STRIP,0::5,10::0,3
CHYMOTHAL FORTE STRIP OF 20 TABLETS,GENERAL SURGERY,STRIP,0::0,30::0,0
CHYMOWIN DBR TAB,GENERAL SURGERY,STRIP,0::0,12::0,0
CIDAL 4.5 GM VIAL OF 4.5GM POWDER FOR INJECTION,GENERAL SURGERY,STRIP,0::0,1::0,0
CILACAR T STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
CILACAR TM 25,GENERAL MEDICINE,INJ,0::0,15::0,0
CIPLACEF 1GM INJ,GENERAL SURGERY,VIAL,,80::0,0
CIPLACEF 500MG INJ,GENERAL SURGERY,VIAL,3::0,35::0,3
CIPLADINE 10% SOLU 100ML,HOSPITAL CPMH,INJ,0::0,5::0,5
CIPLADINE 5% OINT 10GM,HOSPITAL CPMH,CAN,1::0,4::0,2
CIPLADINE 5% OINT 125GM,HOSPITAL CPMH,STRIP,0::0,1::0,0
CIPLADINE 5% OINT 20GM,HOSPITAL CPMH,TAB,0::0,2::0,0
CIPLADINE 7.5% SOLUTION 100ML,HOSPITAL CPMH,INJECTION,0::0,700::0,0
CIPLADINE BOTTLE OF 10GM POWDER,HOSPITAL CPMH,INJECTION,0::0,10::0,0
CIPLAR LA 20MG STRIP OF 15 TABLETS,GENERAL MEDICINE,INJECTION,22::0,400::0,1
CIPLOX 0.3% E/E DROPS 10ML,ENT,BOTTLE,0::0,18::0,0
CIPLOX 250MG TABLET,GENERAL MEDICINE,TUBE,5::0,66::0,11
CIPLOX 500MG TABLET,GENERAL MEDICINE,TUBE,4::0,4::0,0
CIPLOX D E/E DROPS,ENT,TUBE,0::0,13::0,1
CIPLOX OZ TABLET,GENERAL MEDICINE,BOTTLE,0::0,0::0,0
CIPLOX,GENERAL MEDICINE,BOTTLE,13::0,379::0,27
CIPROFLOXACIN (BAX) IV INFUSION 100 ML,GENERAL MEDICINE,STRIP,0::0,1::0,0
CIR BED BATH WIPES 10S,HOSPITAL CPMH,BOTTLE,3::0,179::0,3
CIROPRED 40,GENERAL MEDICINE,STRIP,2::0,8::0,5
CISS-STING,GENERAL MEDICINE,STRIP,4::0,26::0,2
CITAL BOTTLE OF 100ML SYRUP,GENERAL MEDICINE,BOTTLE,5::0,73::0,6
CITAL UTI BOTTLE OF 100ML SUSPENSION,GENERAL MEDICINE,STRIP,0::0,2::0,0
CITISTAR PM TABLET,GENERAL MEDICINE,TAB,0::7,14::0,0
CLAMIN 600 MG INJECTION 4 ML,GENERAL SURGERY,STRIP,0::0,1::0,0
CLAMP DROPS 10ML,ENT,INFUSION,12::0,15::0,10
CLAMP KID FORTE BOTTLE OF 30ML SUSPENSION,PED,POUCH,33::0,547::0,14
CLAMP SUSP,GENERAL MEDICINE,INJ,6::0,6::0,6
CLARIBID 500MG STRIP OF 10 TABLETS,GENERAL MEDICINE,TAB,12::0,12::0,12
CLARINOVA 250MG TABLET,GENERAL MEDICINE,BOTTLE,0::0,50::0,1
CLEARWAX EAR DROPS 10ML,ENT,BOTTLE,0::0,1::0,0
CLINCIN 300MG CAPSULE,GENERAL MEDICINE,BOTTLE,2::0,30::0,3
CLOFERT 50MG STRIP OF 10 TABLETS,OBGY,STRIP,0::0,3::0,0
CLONEON 150MCG INJ 1ML,GENERAL SURGERY,INJECTION,0::0,10::0,0
CLOPIVAS 75MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,2::0,3::0,0
CLOPITAB 75MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,4::0,1
CLOPITAB A 150MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,BOTTLE,3::0,101::0,2
CLOSTOP SRX 500/250 MG TABLET 10,GENERAL MEDICINE,STRIP,1::5,55::0,3
CLOTRIN BOTTLE OF 10ML EAR DROPS,ENT,STRIP,2::0,9::0,0
CLOZOTIC EAR DROPS,ENT,STRIP,0::-4,3::0,0
COFSIL JAR,GENERAL MEDICINE,BOTTLE,2::0,20::0,0
COFSILS COUGH DROPS 210,GENERAL MEDICINE,STRIP,3::0,4::0,0
"COFSILS DROPS ASSORTED (HONEY,MENTHOL,GINGER)",GENERAL MEDICINE,STRIP,2::5,5::0,2
COFSILS EXPERDINE GARGLE 100 ML,ENT,AMPOULE,4::0,89::0,9
COFSILS ORANGE LOZENGES,GENERAL MEDICINE,STRIP,0::13,2::0,1
COLIMAX,PED,STRIP,1::6,9::0,3
COLGATE ACTIVE SALT TOOTH PASTE 54 GM,GENERAL MEDICINE,STRIP,0::0,1::0,0
COLGATE STRONG TEETH DENTAL TOOTH PASTE 23 GM,GENERAL MEDICINE,STRIP,0::0,2::0,0
COMFORTABLE KNEE CAP WITH PATELLAR RING LARGE,ORTH,STRIP,0::5,6::0,0
CONCOR AM 5/5 MG TABLET 30,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
CORD CLAM BINI 1'S,PED SURGERY,VIAL,0::0,2::0,0
CORT S 100MG INJECTION,GENERAL SURGERY,ORANGE,114::0,115::0,114
COTTON ABSORBENT 200 GM,HOSPITAL CPMH,JAR,0::184,1::0,0
COTTON BANDAGE 10CMX9M,HOSPITAL CPMH,JAR,1::0,1::0,1
COUGHOREX SYP,GENERAL MEDICINE,BOTTLE,0::0,20::0,0
CRISANTA STRIP OF 21 TABLETS,OBGY,STRIP,28::1,44::0,28
CRISANTA LS TABLET,OBGY,TAB,4::5,24::0,4
CRITIPRO DM VANILLA POWDER 180GM,GENERAL MEDICINE,TUBE,0::0,0::0,0
CTD O 6.25/20MG TABLET,GENERAL MEDICINE,TUBE,1::0,24::0,1
CUTENOX 40MG INJECTION 0.4ML,GENERAL SURGERY,PACKET,1::0,14::0,1
CUTENOX 60MG INJ 0.6ML,GENERAL SURGERY,TUBE,2::0,12::0,2
CUTICELL CLASSIC 10CM X 10CM GAUZE DRESSING,HOSPITAL CPMH,TUBE,14::0,48::0,14
COLICAID DROPS 15ML,PED,BOTTLE,2::0,52::0,3
COLICAID SYRUP 60ML,PED,BOTTLE,0::0,6::0,0
COLIMAX,GENERAL MEDICINE,DROP,0::0,4::0,0
COLOPREP ORANGE,GENERAL MEDICINE,KIT,0::0,1::0,0
COMFORTABLE KNEE CAP WITH PATELLAR RING LARGE D 07,ORTH,BOX,0::0,1::0,0
CONCOR AM 5/5 MG TABLET 30,GENERAL MEDICINE,STRIP,1::5,3::0,1
COR 3 STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,4::0,28::0,1
COR 3D CAP 10'S,GENERAL MEDICINE,SYP,2::0,38::0,5
CORBIS 2.5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,1::0,2::0,1
CORBIS 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
COROLATE INJ,GENERAL MEDICINE,STRIP,4::0,131::0,4
CREMAFFIN FRESH TABLETS STRIP OF 10,GENERAL MEDICINE,STRIP,0::5,2::0,0
CREMAFFIN MINT CONSTIPATION SYRUP BOTTLE OF 200 ML,GENERAL MEDICINE,STRIP,1::0,1::0,1
CREMAFFIN PLUS BOTTLE OF 225ML EMULSION,GENERAL MEDICINE,BOX,91::0,235::0,57
CREMAFFIN WHITE LIQUID 200ML,GENERAL MEDICINE,INJECTION,0::0,10::0,0
CREON 10000 CAP 15'S,GENERAL MEDICINE,DRINE SHEET,4::0,15::0,3
CTD O 6.25/20MG TABLET,GENERAL MEDICINE,DRY VIAL,13::0,70::0,0
CTD T 12.5/80MG TABLET,GENERAL MEDICINE,INJECTION,2::0,4::0,2
CYCLOPAM STRIP OF 10 TABLETS,GENERAL MEDICINE,PACKET,0::0,2::0,0
CYCLOPAM SUSPENSION 30ML,GENERAL MEDICINE,PACKET,0::0,60::0,-1
CYCLOPAM SYP 60ML,GENERAL MEDICINE,PACKET,9::0,127::0,45
D FRESH STRONG TUBE OF 30GM GEL,GENERAL MEDICINE,PACKET,3::0,1::0,3
D PROTIN CHOCOLATE FLAVOUR POWDER 400GM,PED,BOTTLE,2::0,42::0,5
DABUR HONEY 20GM,GENERAL MEDICINE,STRIP,10::0,23::0,10
DAPARYL 5MG STRIP OF 10 TABLETS,GENERAL MEDICINE,AMPOULE,0::0,3::0,1
DAXVIT D3,GENERAL MEDICINE,BANNDAGE,8::0,15::0,8
DEPIN 10MG STRIP OF 30 CAPSULES,GENERAL MEDICINE,SYR,0::0,1::0,0
DFO GEL 30GM,GENERAL MEDICINE,STRIP,0::0,1::0,0
DIGEPLEX T STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
DIGEPLEX TAB,GENERAL MEDICINE,BOTTLE,3::0,34::0,0
DIGERAFT MINT FLAVOUR SUSPENSION - 150 ML,GENERAL MEDICINE,BOTTLE,0::0,0::0,0
DIOVOL LA MINT FLAVOUR BOTTLE OF 170ML SOLUTION,GENERAL MEDICINE,STRIP,2::0,5::0,2
DIPER,PED,BOTTLE,0::0,8::0,0
DISPO SYRINGE 50ML,HOSPITAL CPMH,STRIP,3::0,89::0,2
DISPOSABLE NEEDAL 18G 1TW,HOSPITAL CPMH,STRIP,0::0,3::0,0
DISPOSABLE SKIN PREP RAZOR - 50 NUMBERS,HOSPITAL CPMH,TIN,0::0,4::0,0
DISPOVAN SYRINGE 10 ML,HOSPITAL CPMH,STRIP,0::0,2::0,0
DISPOVAN SYRINGE 10ML,HOSPITAL CPMH,STRIP,0::5,1::0,0
DISPOVAN SYRINGE 2.5 ML,HOSPITAL CPMH,TAB,18::2,353::0,10
DISPOVAN SYRINGE 20ML,HOSPITAL CPMH,TAB,0::0,44::0,0
DISPOVAN SYRINGE 50ML,HOSPITAL CPMH,PRE-FILLED SYRINGE,3::0,3::0,3
DISPOVAN SYRNGE 5ML,HOSPITAL CPMH,PRE-FILLED SYRINGE,2::0,3::0,0
DISPRIN STRIP OF 10 TABLETS,GENERAL MEDICINE,DRESSING,30::0,166::0,32
DIVOL -LA,GENERAL MEDICINE,DRESSING,5::0,40::0,5
DNS 0.9% INJ 500ML PLASTIC (B BRAUN),HOSPITAL CPMH,PACKET,0::0,15::0,2
DNS PLASTIC INJ 500ML,HOSPITAL CPMH,STRIP,15::8,432::0,19
DOBACT DOX KIT TAB,GENERAL MEDICINE,STRIP,0::5,12::0,0
DOBIMUST STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,1::0,4::0,2
DOBUSTAT 250MG INJECTION 5ML,GENERAL MEDICINE,BOTTLE,3::0,5::0,3
DOLO 650MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
DOLOFORCE INJECTION,GENERAL MEDICINE,BOTTLE,4::0,50::0,4
DOLOFRESH ALU STRIP OF 10 TABLETS,GENERAL MEDICINE,TUBE,0::0,1::0,0
DOLONEX 20MG INJ 1ML,GENERAL MEDICINE,AMPOULE,0::0,70::0,17
DOMSTAL 10MG DROPS,PED,JAR,0::0,1::0,0
DOMSTAL BABY BOTTLE OF 5ML ORAL DROPS,PED,BOTTLE,0::0,292::0,0
DOMSTAL BOTTLE OF 30ML SUSPENSION,GENERAL MEDICINE,PACKET,1::0,54::0,11
DONICA 25MG CAPSULE,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
DOPAR 200MG INJECTION,GENERAL MEDICINE,STRIP,10::2,73::0,3
DOXIMYCIN TAB,GENERAL MEDICINE,STRIP,0::0,12::0,0
DOXINATE 24 TABLET 15'S,OBGY,STRIP,1::0,1::0,1
DOXINATE PLUS STRIP OF 30 TABLETS,OBGY,CAP,1::0,18::0,5
DOXINATE STRIP OF 30 TABLETS,OBGY,STRIP,0::0,66::0,0
DOXOLIN 400MG STRIP OF 30 TABLETS,GENERAL MEDICINE,STRIP,1::2,10::0,1
DOXT SL 100MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOTTLE,5::0,47::0,4
DOXYGLEX,GENERAL MEDICINE,BOTTLE,1::0,38::0,4
DOXYLAB STRIP OF 8 CAPSULES,GENERAL MEDICINE,IV,4::0,100::0,4
DOXYLAB STRIP OF 8 TABLETS,GENERAL MEDICINE,MOUTHWASH,0::0,24::0,0
DOXYMYCIN,GENERAL MEDICINE,STRIP,0::17,0::0,0
DOXYTREAT LB,GENERAL MEDICINE,VIAL,0::0,2::0,1
DOXYWELL 100MG,GENERAL MEDICINE,AMPOULE,14::0,107::0,20
DREP WAX EAR DROPS 10ML,ENT,STRIP,0::9,6::0,-1
DROGYNA STRIP OF 10 TABLETS,OBGY,TUBE,0::0,0::0,0
DROGYNA STRIP OF 8 TABLETS,OBGY,TUBE,0::0,3::0,0
DROTIN INJECTION,GENERAL MEDICINE,BOX,0::0,1::0,0
DULCOFLEX 10MG SUPPOSITORY FOR ADULTS - 5'S,GENERAL SURGERY,PACK,0::0,1::0,0
DEXALAB INJ,GENERAL MEDICINE,BOTTLE,1::0,9::0,1
DEXASONE INJ 2ML,GENERAL MEDICINE,BOX,0::0,6::0,0
DEXLOG 50MG,GENERAL MEDICINE,BOTTLE,4::0,9::0,3
DEXTOMID 100MCG INJ,GENERAL MEDICINE,BOX,2::0,60::0,2
DEXTOMID 50MCG INJECTION,GENERAL MEDICINE,STRIP,5::1,23::0,1
DEXTROSE 25% INF 100ML (SKKL),HOSPITAL CPMH,INJECTION,0::0,80::0,0
DEXTROSE 5% & 0.45% NS 500ML,HOSPITAL CPMH,INJECTION,24::0,320::0,28
DEXTROSE 5% & 0.9% SODIUM CHL INJ 500ML,HOSPITAL CPMH,1,0::0,48::0,0
DFO GEL 30GM,GENERAL MEDICINE,VIAL,0::0,48::0,0
DIGEPLEX T STRIP OF 10 TABLETS,GENERAL MEDICINE,INJ,9::0,11::0,9
DIGEPLEX TAB,GENERAL MEDICINE,AMPOULE,2::0,78::0,8
DIGERAFT MINT FLAVOUR SUSPENSION - 150 ML,GENERAL MEDICINE,VIAL,0::0,16::0,0
DIOVOL LA MINT FLAVOUR BOTTLE OF 170ML SOLUTION,GENERAL MEDICINE,INJECTION,8::0,30::0,9
DIPER,PED,INFUSION,4::0,145::0,26
DISPO SYRINGE 50ML,HOSPITAL CPMH,INJECTION,26::0,25::0,8
DISPOSABLE NEEDAL 18G 1TW,HOSPITAL CPMH,TUBE,1::0,8::0,1
DISPOSABLE SKIN PREP RAZOR - 50 NUMBERS,HOSPITAL CPMH,STRIP,0::0,34::0,0
DISPOVAN SYRINGE 10 ML,HOSPITAL CPMH,ADL,0::0,11::0,8
DISPOVAN SYRINGE 10ML,HOSPITAL CPMH,INJECTION,2::0,100::0,1
DISPOVAN SYRINGE 2.5 ML,HOSPITAL CPMH,AMPOULE,6::0,30::0,6
DISPOVAN SYRINGE 20ML,HOSPITAL CPMH,WRAP,1::0,10::0,0
DISPOVAN SYRINGE 50ML,HOSPITAL CPMH,AMPOULE,1::0,1::0,1
DISPOVAN SYRNGE 5ML,HOSPITAL CPMH,STRIP,0::1,32::0,0
DISPRIN STRIP OF 10 TABLETS,GENERAL MEDICINE,TAB,0::0,7::0,0
DIVOL -LA,GENERAL MEDICINE,BOTTLE,0::0,35::0,3
DNS 0.9% INJ 500ML PLASTIC (B BRAUN),HOSPITAL CPMH,PACKET,0::0,1::0,0
DNS PLASTIC INJ 500ML,HOSPITAL CPMH,BOX,0::0,1::0,0
DOBACT DOX KIT TAB,GENERAL MEDICINE,PACKET,0::0,3::0,0
DOBIMUST STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,0::0,0::0,0
DOBUSTAT 250MG INJECTION 5ML,GENERAL MEDICINE,L,1::0,1::0,1
DOLO 650MG STRIP OF 15 TABLETS,GENERAL MEDICINE,PACKET,0::0,0::0,0
DOLOFORCE INJECTION,GENERAL MEDICINE,BOX,72::0,100::0,38
DOLOFRESH ALU STRIP OF 10 TABLETS,GENERAL MEDICINE,BOX,0::0,70::0,0
DOLONEX 20MG INJ 1ML,GENERAL MEDICINE,BOX,10::0,1121::0,10
DOMSTAL 10MG DROPS,PED,PACKET,2::0,1000::0,0
DOMSTAL BABY BOTTLE OF 5ML ORAL DROPS,PED,PACKET,194::0,4350::0,301
DOMSTAL BOTTLE OF 30ML SUSPENSION,GENERAL MEDICINE,PACKET,702::0,5600::0,950
DONICA 25MG CAPSULE,GENERAL MEDICINE,BOX,15::0,35::0,3
DOPAR 200MG INJECTION,GENERAL MEDICINE,BOX,25::0,70::0,18
DOXIMYCIN TAB,GENERAL MEDICINE,PACKET,365::0,3400::0,560
DOXINATE 24 TABLET 15'S,OBGY,STRIP,1::0,2::0,1
DOXINATE PLUS STRIP OF 30 TABLETS,OBGY,1,0::0,7::0,0
DOXINATE STRIP OF 30 TABLETS,OBGY,INFUSION,0::0,75::0,0
DOXOLIN 400MG STRIP OF 30 TABLETS,GENERAL MEDICINE,BOTTLE,72::0,975::0,142
DOXT SL 100MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,INJECTION,0::0,300::0,0
DOXYGLEX,GENERAL MEDICINE,STRIP,2::0,25::0,1
DOXYLAB STRIP OF 8 CAPSULES,GENERAL MEDICINE,STRIP,0::0,14::0,0
DOXYLAB STRIP OF 8 TABLETS,GENERAL MEDICINE,AMPOULE,4::0,4::0,4
DOXYMYCIN,GENERAL MEDICINE,STRIP,0::0,126::0,3
DOXYTREAT LB,GENERAL MEDICINE,AMPOULE,6::0,6::0,6
DOXYWELL 100MG,GENERAL MEDICINE,STRIP,4::6,30::0,4
DREP WAX EAR DROPS 10ML,ENT,AMPOULE,1::0,1::0,1
DROGYNA STRIP OF 10 TABLETS,OBGY,BOTTLE,0::0,1::0,0
DROGYNA STRIP OF 8 TABLETS,OBGY,BOTTLE,4::0,6::0,4
DROTIN INJECTION,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
