Medicine,Opening Stock,Purchase,Sales,Closing Stock
ADULT DIAPER  LARGE 10 PCS DIAPER 10,0::0,0,3,1
CANDID POWDER - 100GM,0::0,0,1,0
CIR BED BATH WIPES 10S,36::0,0,1,3
MOUTHWASH FRESHORA MOUTHWASH,36::0,0,1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,0,1
BECOSULES STRIP OF 20 CAPSULES,0::14,0,0::10,0::1
ESOIN DSR CAP 10S,0::0,0,1,0
ONFUROX 500 MG TAB 10S,0::0,0,1,0
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
AAPSON SHOULDER IMMOBILISER SPL (ELASTIC,2::0,0,1,0
FLAMICREPE COTTON CREPE BANDAGE 4M X 15 CM,0::0,0,1,0
DVITAL 60K STRIP OF 4 TABLETS,13::0,0,1,0
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
MENOHELP SYP,6::0,0,1,0
TRICIUM XT BOTTLE OF 30 TABLETS,17::0,0,1,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,0::6,0::-2
BETNOVATE 0.1% CREAM 20GM,0::0,0,1,0
CANDITRAL SB STRIP OF 10 CAPSULES,3::0,0,0::5,0
EMANZEN D TABLET,36::1,0,0::5,0::2
OKACET 10MG TABLET,0::0,0,0::3,0::6
PFANTO D 40MG CAPSULE,39::2,0,0::3,0::6
FEMILON TABLET,0::0,0,1,4
MENOHELP PLUS SYP 200ML,0::0,0,1,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
ESOIN DSR CAP 10S,0::0,0,1,0
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
ULTRAHEAL TAB TAB 10,0::0,0,1,0
ARGIHOPE 1000MG TABLET,0::0,0,2,0
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,2,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
ONDODER INJ 2ML,63::0,0,6,0
PANTOZEE 40MG INJ,14::0,0,6,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,5,0
TROYPIPERA T 4.5GM INJ,52::0,0,6,5
ACICA SP TAB 10,23::6,0,1,0
BECOZINC  CAP 30S,0::0,0,0::10,0
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::5,0
ESOIN DSR CAP 10S,0::0,0,0::5,0
NUZORB  TAB 2 GM,1::10,0,1,0
G-PLAST SURGICAL TAPE 10 X 500 CM NT1050 50 NO'S,0::0,0,1,2
FLAMICREPE COTTON CREPE BANDAGE 4M X 15 CM,2::0,0,1,0
G-PLAST SURGICAL TAPE 10 X 500 CM NT1050 50 NO'S,0::0,0,1,2
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
SOFRAMYCIN SKIN CREAM 30GM,0::0,0,1,0
TERBINAFORCE 1% CREAM 10GM,2::0,0,1,1
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
ULTRAHEAL TAB TAB 10,0::0,0,1,0
ALLERCET COLD TABLET,52::3,0,1::5,0::1
ENERZIP POWDER,650::0,0,5,26
ESOIN DSR CAP 10S,0::0,0,1,0
MAGNATUSS T  SYP 100 ML,4::0,0,1,0
ZADY 500MG STRIP OF 5 TABLETS,0::0,0,1,0
ESOIN DSR CAP 10S,0::0,130,0,0
IMVITA PROTIN  POWDER 200GM,0::0,65,0,11
TOTALAX NF SYP 100ML,16::0,0,1,0
IBUGESIC PLUS SUSP 60ML,10::0,0,1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,2,1
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
ETHILON 2 0 NW 3336,7::0,0,1,0
EXAMINATION GLOVES LOOSE (M),860::0,0,10,53
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,91::0,0,1,1
NEEDLE NO.18*1.5,94::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,2,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
NUROKIND GOLD INJECTION,0::0,0,1,0
NUROKIND GOLD INJECTION,13::0,0,1,0
ONDODER INJ 2ML,63::0,0,2,0
PANTOZEE 40MG INJ,14::0,0,2,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,1,2
RAZORS GALANT 1,40::0,0,1,6
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,91::0,0,1,1
GDRESS 25 9X25CM,0::0,0,1,2
CIR BED BATH WIPES 10S,36::0,0,1,3
CARILITE  SYP 200ML,2::0,0,1,6
A TO Z NS STRAWBERRY FLAVOUR BOTTLE OF 15ML DROPS,5::0,5,0,0
BECOZINC  CAP 30S,0::0,5,0,0
BETNOVATE 0.1% CREAM 20GM,0::0,4,0,0
GLUCONORM PG L1 FORTE TAB,0::0,2,0,0
MS SPA 80MG TAB,15::5,12,0,0::9
PANTOCID IT CAPSULE,0::0,2,0,1
STAMLO 5MG STRIP OF 30 TABLETS,0::0,2,0,0
TRAMADIN PLUS TAB 10'S,0::0,10,0,0::1
VIBACT DS STRIP OF 10 CAPSULES,0::0,2,0,1
ZADY 500MG STRIP OF 5 TABLETS,0::0,6,0,0
ZENFLOX UTI TABLET,0::0,5,0,0
TRAMADIN PLUS TAB 10'S,0::0,0,0::2,0::1
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
BREAST PUMP WITH FEEDING BOTTLE,7::0,0,0,5
CHYMOTAKE D TAB 10,26::6,0,1,0
EMANZEN D TABLET,36::1,0,1,0::2
ENERZIP POWDER,650::0,0,10,26
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
LINOWIN 600MG TAB,41::4,0,1,0::4
PFANTO D 40MG CAPSULE,39::2,0,1,0::6
CHYMOTAKE D TAB 10,26::6,0,1,0
EMANZEN D TABLET,36::1,0,1,0::2
ENERZIP POWDER,650::0,0,10,26
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
LINOWIN 600MG TAB,41::4,0,1,0::4
PFANTO D 40MG CAPSULE,39::2,0,1,0::6
PRO-EASE PADS XL,1::0,0,1,6
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,0::0,0,1,0
PLACIDA PLUS TABLET,0::0,0,1,0
MS SPA 80MG TAB,15::5,0,1,0::9
BETAVEE INJ 1ML,14::0,10,0,5
ETHILON 2 0 NW 3336,0::0,11,0,0
FLAMICREPE COTTON CREPE BANDAGE 4M X 15 CM,0::0,10,0,0
NULIFE GLOVES 7.5 1'S,0::0,50,0,42
SPIROMETER,0::0,3,0,2
SURGICAL BLADE 15,12::0,20,0,1
SURGICAL GLOVES LATEX POWDER FREE,1::0,6,0,0
TOPLON ANTISEPTIC  LIQUID 100ML,0::0,10,0,1
D PAIN AQ INJ 1ML,31::0,0,3,2
DEXTROSE 5% & 0.9% SODIUM CHL INJ 500ML,17::0,0,2,8
DNS BOTTLE 500 MILLILITRE,88::0,0,2,0
EVACEF 1GM INJ,17::0,0,3,0
GENTAVEE 2ML INJ AMP,25::0,0,3,52
METERKEM IV BOTTLE OF 100ML INFUSION,103::0,0,3,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,4,0
ONDODER INJ 2ML,63::0,0,3,0
REETAC INJ 2ML,0::0,0,3,0
RL 500ML BOTTLE 500 MILLILITRE,119::0,0,2,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,3,0
ALLERCET COLD TABLET,52::3,0,1,0::1
ESOIN DSR CAP 10S,0::0,0,1,0
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
ZENFLOX UTI TABLET,0::0,0,1,0::2
ADULT DIAPER  LARGE 10 PCS DIAPER 10,4::0,0,2,0
TELMIKIND 40MG STRIP OF 10 TABLETS,0::0,0,1,0::5
AD 100MG CAPSULE,3::3,0,1,0
ZINCONIA 50MG TABLET,3::0,0,1,0
DNS BOTTLE 500 MILLILITRE,88::0,0,4,0
BEPLEX FORTE STRIP OF 20 TABLETS,0::0,0,0::15,0::10
GLUCONORM PG L1 FORTE TAB,0::0,0,1,0
ISTAVEL 50MG STRIP OF 7 TABLETS,0::0,0,1,0
OLMEBLU AM 20MG STRIP OF 15 TABLETS,0::0,0,1,0
ROSUMAC ASP 10/75 CAP 10'S,0::0,0,1::5,4
LOWCAP 60MG INJ,0::0,0,1,0
BREAST PUMP WITH FEEDING BOTTLE,7::0,0,1,5
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,21::0,0,4,0
ALLERCET COLD TABLET,52::3,0,1,0::1
ESOIN DSR CAP 10S,0::0,0,1,0
IMFIT TAB,24::3,0,1,28::6
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
MS SPA 80MG TAB,15::5,0,1,0::9
ONFUROX 500 MG TAB 10S,0::0,0,1,0
URIKIND KM6 SACHET 1,18::0,0,5,0
NEOMOL INJ 100ML,46::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,3,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
RL 500ML BOTTLE 500 MILLILITRE,119::0,0,1,0
TROYPIPERA T 4.5GM INJ,52::0,0,3,5
ALLERCET COLD TABLET,52::3,0,0::5,0::1
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
HETRODOX LB CAP 10S,5::1,0,0::5,0::9
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,5::0,0,1,0
URIKIND KM6 SACHET 1,18::0,0,5,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,0,1
DISPOVAN SYRINGE 2.5 ML,445::0,0,0,0
NEEDLE NO.18*1.5,94::0,0,0,0
NEOMOL INJ 100ML,46::0,0,0,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,0,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,0,0
PANTOZEE 40MG INJ,14::0,0,0,0
RL 500ML BOTTLE 500 MILLILITRE,119::0,0,0,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,0::6,0::-2
CHYMOTAKE D TAB 10,26::6,0,1,0
CIPLADINE BOTTLE OF 10GM POWDER,0::0,0,1,0
EMANZEN D TABLET,36::1,0,1,0::2
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
PFANTO D 40MG CAPSULE,39::2,0,1,0::6
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
TRICIUM XT BOTTLE OF 30 TABLETS,17::0,0,1,0
ANOEASE CAP 4'S,9::0,0,1,0
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
FERICA XT TOTAL TAB 10,14::0,0,2,0
GRANIFORCE MD TABLET,6::8,0,1,0
ALLERCET COLD TABLET,52::3,0,1,0::1
AMPIROK 375 TAB 10,7::6,0,1,5::6
ESOIN DSR CAP 10S,0::0,0,1,0
HISTAFREE M TABLET,6::0,0,1,1::5
RESPISMART N  TAB 10S,8::1,0,1,5::9
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::5,0
FLAGYL 400MG TABLET,0::0,0,0::6,0::12
HETRODOX LB CAP 10S,5::1,0,0::6,0::9
OKACET 10MG TABLET,6::5,0,0::3,0
PFANTO D 40MG CAPSULE,39::2,0,0::5,0::6
ULTRAKING  TAB 15S,5::6,0,0::3,0::1
ACICA MR TAB 10S,6::2,0,1,20::6
TENOBEL TAB 10S,0::0,0,1,6::5
ULTRAHEAL TAB TAB 10,0::0,0,1,0
BETAVEE INJ 1ML,14::0,0,3,5
ENERZIP POWDER,650::0,0,5,26
HIMALAYA GASEX TABLETS - 100'S,0::76,0,0::5,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,2,1
NS 100ML INJECTION 100 MILLILITRE,207::0,0,3,0
PARAZEX IV 100ML,0::0,0,3,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,2,0
ACICA MR TAB 10S,6::2,0,0::5,20::6
ARACHITOL 6LAC INJ 1*6,0::0,0,1,0
ESOIN DSR CAP 10S,0::0,0,0::5,0
INSTACAL K27 TAB 10,5::0,0,0::5,0
ONFUROX 500 MG TAB 10S,0::0,0,0::5,0
REBONAGE TAB 10S,3::5,0,0::5,0
CYCLOFIT SP TABLET,21::3,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
ONFUROX 500 MG TAB 10S,0::0,0,1,0
NOSTRA CR 10MG TAB 10'S,1::8,0,0::6,-1::-7
PAN 40MG STRIP OF 15 TABLETS,5::10,0,0::3,0::3
MENOHELP PLUS SYP 200ML,0::0,0,1,0
TRICIUM XT BOTTLE OF 30 TABLETS,17::0,0,1,0
ULTRAKING  TAB 15S,5::6,0,0::5,0::1
MS SPA 80MG TAB,15::5,0,1,0::9
RANIDOM MPS SUSPENSION 170ML,4::0,0,1,3
GDRESS 15 8X15CM,0::0,0,1,4
MAHACORT DZ 1MG STRIP OF 10 TABLETS,4::1,0,1,4::1
MUCINAC 600MG ORANGE FLAVOUR SUGAR FREE TABLET 10'S,0::0,0,1,0::4
ACICA MR TAB 10S,6::2,0,1,20::6
ECOSPRIN 150MG STRIP OF 14 TABLETS,0::0,0,0::5,0::8
ESOIN DSR CAP 10S,0::0,0,1,0
ONFUROX 500 MG TAB 10S,0::0,0,1,0
ACICA MR TAB 10S,6::2,0,1,20::6
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
ESOIN DSR CAP 10S,0::0,0,0::5,0
NUROKIND GOLD SACHET,15::0,0,0,0
LOMOTIL STRIP OF 20 TABLETS,0::5,0,0::3,0::2
LOMOTIL STRIP OF 20 TABLETS,1::0,0,0::7,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::3,0,0::1,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,1,0
ANAWIN HEAVY INJ 4ML,21::0,0,1,1
CLONEON 150MCG INJ 1ML,4::0,0,1,1
COTTON BANDAGE 15CMX9M,13::0,0,1,0
DISPOVAN SYRINGE 10ML,414::0,0,5,0
DISPOVAN SYRINGE 2.5 ML,445::0,0,5,0
DISPOVAN SYRNGE 5ML,738::0,0,5,405
ECG LEADS,45::0,0,5,25
ETHILON 2 0 NW 3336,7::0,0,2,0
EXAMINATION GLOVES LOOSE (M),860::0,0,20,53
FLAMIPLAST BIG 4.6MTR 1,5::0,0,1,0
MASK REGULAR MASK 1,140::0,0,15,114
MOPPING  PAD 1,10::0,0,2,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,4,0
NULIFE GLOVES 7.5 1'S,0::0,0,8,42
PAINTAWIN  INJ 1ML,12::0,0,1,10
PYROLATE INJ 1ML,14::0,0,1,0
RL 500ML BOTTLE 500 MILLILITRE,119::0,0,3,0
SPINAL  NEEDLE 25G,9::0,0,1,0
SURGICAL BLADE 15,12::0,0,1,1
SURGICAL BLADE 20,16::0,0,1,9
SURGICAL CAP  1 NO'S CP 1,22::0,0,15,30
SURGICAL GLOVES LATEX POWDER FREE,46::0,0,10,0
VICRYL PLUS 2-0 VP 2382,9::0,0,2,0
WATER FOR INJ 10ML,63::0,0,10,0
CUTICELL CLASSIC  DRESSING 1 PACKET,12::0,0,1,16
ACICA SP TAB 10,23::6,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
VERTEFLEX 10 10,7::6,0,1,3::9
FLAMIPLAST BIG 4.6MTR 1,5::0,0,1,0
DUPHALAC BULK BOTTLE OF 160ML SOLUTION,3::0,0,1,0
FLAMINGO FLAMICREPE COTTON 4 M X 10 CM CREPE BANDAGE 1 NO'S,5::0,0,1,1
CUTICELL CLASSIC  DRESSING 1 PACKET,12::0,0,1,16
MEGAHEAL GEL 15GM,0::0,0,1,0
AMLOSAFE 5MG STRIP OF 15 TABLETS,2::5,0,0::1,0::3
BECOZINC  CAP 30S,0::0,0,0::5,0
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::5,0::-3
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,0::2,0
FRACKSTAR TAB 10S,1::0,0,0::5,0
LINOWIN 600MG TAB,41::4,0,1,0::4
NUZORB  TAB 2 GM,1::10,0,0::5,0
MENOHELP PLUS SYP 200ML,0::0,6,0,0
TENOBEL TAB 10S,0::0,6,0,6::5
TRENTAL 400MG STRIP OF 15 TABLETS,0::0,5,0,0::5
UBINEXT PLUS SACHET 5GM,0::0,12,0,0
URIKIND KM6 SACHET 1,18::0,24,0,0
NUROKIND GOLD INJECTION,13::0,0,2,0
ACICA SP TAB 10,0::0,0,1,7::9
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
ESOIN DSR CAP 10S,0::0,0,0::5,0
NUFORCE 150MG TABLET 2'S,2::1,0,2::1,0
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
GDRESS 25 9X25CM,0::0,0,1,2
GERBISA 10 MG SUPPOSITORY 5,4::0,0,1,2
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,21::0,0,2,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,3,1
D PAIN AQ INJ 1ML,31::0,0,2,2
NERVIJEN INJ 2ML,0::0,0,3,0
ONDODER INJ 2ML,63::0,0,3,0
PANTOZEE 40MG INJ,14::0,0,3,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,3,0
TOTALAX NF SYP 100ML,16::0,0,1,0
PRO-EASE PADS XL,1::0,0,1,6
CANDID POWDER - 100GM,0::0,0,1,0
CANDID POWDER - 100GM,0::0,0,1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,4,1
CIR BED BATH WIPES 10S,36::0,0,1,3
MOUTHWASH FRESHORA MOUTHWASH,36::0,0,1,0
MVI AMPOULE OF 10ML INJECTION,20::0,0,2,5
NS 100ML INJECTION 100 MILLILITRE,207::0,0,4,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
ONDODER INJ 2ML,63::0,0,4,0
PANTOZEE 40MG INJ,14::0,0,4,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,3,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,4,1
DISPOVAN SYRINGE 2.5 ML,445::0,0,1,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
ENEMA BOTLE ENEMA 1,10::0,0,1,12
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,91::0,0,1,1
NEEDLE NO.18*1.5,94::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,207::0,0,3,0
NS 100ML INJECTION 100 MILLILITRE,373::0,0,3,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,4,0
ONDODER INJ 2ML,63::0,0,4,0
PANTOZEE 40MG INJ,14::0,0,4,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,4,0
URIKIND KM6 SACHET 1,18::0,0,2,0
ONDODER INJ 2ML,63::0,0,3,0
PANTOZEE 40MG INJ,14::0,0,3,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,3,0
PRO-EASE PADS XL,1::0,0,2,6
PRO-EASE PADS XL,1::0,0,1,6
KANAM SURGICARE STERILE LATEX POWD 6.5 SURGICAL GLOVES 25 PAIRS,0::0,10,0,0
MUCOMIX 400MG INJECTION,0::0,20,0,16
NERVIJEN INJ 2ML,0::0,10,0,0
OFUXIN INJ,0::0,10,0,0
TOTALAX NF SYP 100ML,16::0,12,0,0
ULTRAHEAL TAB TAB 10,0::0,20,0,0
URO BAG 10,0::0,25,0,9
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
CYCLOFIT SP TABLET,21::3,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
SUCRAFIL O GEL 200ML,0::0,0,1,2
D PAIN AQ INJ 1ML,31::0,0,3,2
DEXTROSE 5% & 0.9% SODIUM CHL INJ 500ML,17::0,0,2,8
DNS BOTTLE 500 MILLILITRE,88::0,0,2,0
EVACEF 1GM INJ,17::0,0,2,0
METERKEM IV BOTTLE OF 100ML INFUSION,103::0,0,3,0
NS 100ML INJECTION 100 MILLILITRE,373::0,0,3,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,2,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,3,0
LOMOTIL STRIP OF 20 TABLETS,1::0,0,0::3,0
LOMOTIL STRIP OF 20 TABLETS,0::2,0,0::2,0
A TO Z NS STRAWBERRY FLAVOUR BOTTLE OF 15ML DROPS,5::0,0,1,0
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,8::0,0,1,0
LOPAMIDE 2MG TABLET,1::4,0,0::5,0::8
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::10,0
ESOIN DSR CAP 10S,0::0,0,1,0
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
ANAFORTAN STRIP OF 15 TABLETS,1::9,0,0::5,0
CHYMORAL FORTE STRIP OF 20 TABLETS,0::0,0,0::10,0
CYCLOFIT SP TABLET,21::3,0,1,0
DVIT 60K ORAL SOLUTION  5ML BOTTLE 5ML BOTTLE,68::0,0,4,32
ESOIN DSR CAP 10S,0::0,0,1,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,1,0
CHYMORAL FORTE STRIP OF 20 TABLETS,0::0,0,0::10,0
ESOIN DSR CAP 10S,0::0,0,1,0
QLINK PD 75/20 TAB 10S,15::5,0,1,21::8
DISPOVAN SYRINGE 10ML,414::0,0,5,0
ZEMOXY INJ 1.2GM,0::0,0,3,0
ZEMOXY INJ 1.2GM,0::0,0,1,0
CONOS SF SYP 100ML,2::0,0,1,1
ECOSPRIN AV 75MG STRIP OF 15 CAPSULES,0::0,0,1,0
LEVOFLOX 500MG TABLET,0::0,0,1,2::1
ACICA MR TAB 10S,6::2,0,1,20::6
ARACHITOL 6LAC INJ 1*6,0::0,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
INDOCAP 25MG CAP,0::0,0,1,0::2
NUROLITE INJECTION 2ML,0::0,0,1,2
VERTEFLEX 10 10,7::6,0,1,3::9
CALDIKIND PLUS STRIP OF 10 CAPSULES,0::0,0,0::5,0
ESOIN DSR CAP 10S,0::0,0,1,0
INDOCAP 25MG CAP,0::0,0,1,0::2
REBONAGE TAB 10S,3::5,0,1,0
AMLOSAFE 5MG STRIP OF 15 TABLETS,2::5,0,0::10,0::3
BANDY 400MG STRIP OF 10 TABLETS,6::0,0,1,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,0::5,0
QLINK PD 75/20 TAB 10S,15::5,0,0::5,21::8
ANAFORTAN SYP,0::0,2,0,0
CHYMORAL FORTE STRIP OF 20 TABLETS,0::0,3,0,0
CONOS SF SYP 100ML,2::0,5,0,1
DVITAL 60K STRIP OF 4 TABLETS,0::0,6,0,3
ECOSPRIN AV 75MG STRIP OF 15 CAPSULES,0::0,2,0,0
ENZOX PLUS TABLET,14::0,5,0,0
INDOCAP 25MG CAP,0::0,12,0,0::2
ISTAMET 50/500MG TABLET 15'S,0::0,1,0,0
MONTICOPE A STRIP OF 10 TABLETS,0::0,5,0,0::9
SYLATE T 500MG TABLET,3::5,5,0,0
ZENFLOX PLUS 100MG TABLET,0::0,5,0,1::5
AVIL  INJ 2ML INJ 2ML AMPULS,0::0,0,1,0
BLOOD SET POLYMED BLOOD SET 1,41::0,0,1,19
DEXALAB INJ,100::0,0,1,28
ECOSPRIN 75MG STRIP OF 14 TABLETS,0::0,0,1::5,0::8
GRANIFORCE MD TABLET,6::8,0,2,0
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
MINAGEST 200MG CAPSULE,93::3,0,2,47::8
TRICIUM XT BOTTLE OF 30 TABLETS,17::0,0,1,0
ALLERCET COLD TABLET,52::3,0,1::5,0::1
ENZORUX FORTE  TAB 10S,1::0,0,1,0
LOMOTIL STRIP OF 20 TABLETS,1::0,0,0::10,0
ONFUROX 500 MG TAB 10S,0::0,0,1,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,6::0,0,0::5,0
ESOIN DSR CAP 10S,0::0,0,0::5,0
TENOBEL TAB 10S,0::0,0,0::5,6::5
ULTRAHEAL TAB TAB 10,0::0,0,0::5,0
ESOIN DSR CAP 10S,0::0,0,0::5,0
INDOCAP 25MG CAP,0::0,0,0::5,0::2
REBONAGE TAB 10S,3::5,0,1,0
AMPIROK 375 TAB 10,7::6,0,1,5::6
CHYMORAL FORTE STRIP OF 20 TABLETS,0::0,0,0::10,0
DUVADILAN RETARD 40MG CAP,2::0,0,1,0
DUVADILAN RETARD 40MG CAP,0::5,0,0::2,0::3
ESOIN DSR CAP 10S,0::0,0,1,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
CYCLOFIT SP TABLET,21::3,0,1,0
ESOIN DSR CAP 10S,0::0,0,1,0
IMFIT TAB,24::3,0,3,28::6
BETAVEE INJ 1ML,14::0,0,3,5
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,0::0,0,0::5,0
EMANZEN D TABLET,36::1,0,1,0::2
GDRESS 20 9X20CM,9::0,0,1,3
IMVITA PROTIN  POWDER 200GM,39::0,0,1,0
OKACET 10MG TABLET,0::0,0,0::5,0::6
TAXIM OF TAB 10,49::4,0,1,9
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,6::0,0,0::5,0
ESOIN DSR CAP 10S,0::0,0,0::5,0
ONFUROX 500 MG TAB 10S,0::0,0,0::5,0
TENDOCARE STRIP OF 15 TABLETS,0::0,0,0::5,0
ULTRAHEAL TAB TAB 10,0::0,0,0::5,0
DOXINATE 24 TABLET 15'S,4::0,0,0,0
MEFTAL FORTE TAB 10S,4::2,0,0::5,0
PAUSE MF STRIP OF 10 TABLETS,5::0,0,0::5,0
EMANZEN D TABLET,36::1,0,1,0::2
GDRESS 25 9X25CM,0::0,0,1,2
HEALTH OK BOTTLE OF 200ML SYRUP,47::0,0,1,0
OKACET 10MG TABLET,0::0,0,0::5,0::6
SUPRACAL HD STRIP OF 15 TABLETS,3::0,0,1::5,0::3
TAXIM OF TAB 10,49::4,0,1,9
TRIS TBR TAB TAB 10 STRIP,7::0,0,1,0::-5
ZENFLOX PLUS 100MG TABLET,5::0,0,1,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,0::0,0,1,0::-2
BANDY 400MG STRIP OF 10 TABLETS,6::0,0,1,0
CYCLOFIT SP TABLET,21::3,0,1,0
ENZOX PLUS TABLET,14::0,0,1,0
HIMALAYA GASEX TABLETS - 100'S,2::0,0,1,0
APTIMUST SYP 200ML,0::0,0,1,1
MS SPA 80MG TAB,15::5,0,1,0::9
UBINEXT PLUS SACHET 5GM,0::0,0,5,0
ZENFLOX PLUS 100MG TABLET,5::0,0,1,0
GDRESS 25 9X25CM,0::0,0,1,2
COUGHOREX SYP,6::0,0,1,0
DVITAL 60K STRIP OF 4 TABLETS,13::0,0,1,0
TRICIUM XT BOTTLE OF 30 TABLETS,17::0,0,1,0
TRIS TBR TAB TAB 10 STRIP,7::0,0,0::5,0::-5
